annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,,,,,,,,,,,,,,,,,,,,,
1,commerce,0,0,0,0,1,0,0,0,0,0,bank,phone,installed_app,verification,insurance company,,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,1,,,,,,,,,unknown,unknown,sent_money,payment,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,1,1,0,1,upi,sms,sent_money,payment,bank,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,1,,,,,,,,,card,website,clicked_link,payment,company,,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,none,none,none,none,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,sent_money,payment,unknown,5 lakhs,INR,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,unknown,sent_money,payment,company,50000,INR,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,0,0,0,0,crypto,DM,seed_phrase,verification,none,unknown,unknown,0.9,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,private,sent_money,payment,unknown,$2 ,unknown,0.9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,0,0,0,0,0,1,1,0,0,crypto,website,clicked_link,payment,Elon Musk,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,none,verification,bank,,unknown,0.9,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment | verification | login | download | none | unknown,bank | government | company | individual | none | unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,commerce,0,0,0,1,0,0,0,0,0,0,upi,phone,shared_credentials,cancellation,Meesho,,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,sent_money,payment,company,,unknown,0.9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,phone,none,payment,airline,,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,none,none,none,none,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,WhatsApp,deposited money,payment,unknown,€60,EUR,0.9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,sent_money,payment,company,$250K,USD,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
0,none,0,0,0,0,0,1,0,0,0,0,upi,email,shared_credentials,phishing,bank,,unknown,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,1,,,,,,,,,bank,social_media,clicked_link,payment,TikTok,$20 CAD,CAD,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,sms,clicked_link,evidence,police,none,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,crypto,telegram,sent_money,transaction,unknown,2000,USD,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,commerce,0,0,1,1,0,0,0,0,1,0,bank,email,paid,payment,company,800,INR,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,10,unknown,0.8,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,sms,sent_money,payment,none,100,unknown,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,bank,email,shared_credentials,transaction,bank,,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,sms,none,none,none,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,none,none,none,none,unknown,unknown,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,none,none,none,none,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,bank,unknown,sent_money,none,bank,unknown,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,,unknown,0.9,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,1,0,0,0,0,0,1,0,0,card,phone,sent_money,transaction,company,,unknown,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,1,1,0,bank,social_media,sent_money,payment,unknown,19.45,SOL,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,email,sent_money,payment,company,2550,euro,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,1000,unknown,0.8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,commerce,,,,,,,,,,,unknown,unknown,sent_money,payment,unknown,,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,none,none,none,none,unknown,unknown,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,sent_money,transaction,none,109 BTC,BTC,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,bank,phone,none,none,bank,unknown,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,website,clicked_link,none,unknown,unknown,unknown,0.9,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,KDP (Amazon),,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,social_media,clicked_link,none,company,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,upi,unknown,sent_money,none,none,,cad,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,deposit money,payment,none,,unknown,0.9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,22000,unknown,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,1,1,0,0,0,0,0,0,0,bank,phone,sent_money,payment,bank,$65 million,USD,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,1,,,,,,,,,bank,email,shared_credentials,payment,ebay,850,GBP,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,clicked_link,payment,company,,unknown,0.8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,unknown,sent_money,payment,none,$500 ,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,,,,,,,,,,crypto,sms,sent_money,payment,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,email,clicked_link,none,Google Forms,,unknown,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi,email,sent_money,payment,company,,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,phone,none,none,none,,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,1,0,0,0,0,0,0,0,bank,unknown,sent_money,payment,none,950$,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,crypto,social_media,sent_money,payment,none,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,card,unknown,clicked_link,none,none,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,website,clicked_link,none,none,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,shared_credentials,verification,none,,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,email,none,none,principal,,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment | verification | login | download | none | unknown,bank | government | company | individual | none | unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,commerce,,,,,,,,,,,upi,social_media,sent_money,payment,company,,unknown,0.8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,1,1,1,0,unknown,phone,none,none,United Healthcare,unknown,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,phone,none,none,none,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,sms,none,payment,none,1000 USD,USD,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,email,shared_credentials,none,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,sms,sent_money,payment,none,165,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,none,none,none,none,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,870,INR,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,social_media,none,none,none,unknown,unknown,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,1,0,upi,sms,sent_money,payment,bank,,unknown,0.5,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,,unknown,0.8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,unknown,none,unknown,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,social_media,returned_item,none,Blinkit,unknown,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
0,none,,,,,,,,,,,unknown,social_media,none,none,individual,unknown,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,,unknown,0.9,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,sent_money,payment,company,100,EUR,0.8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,,unknown,0.9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
0,none,0,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,email,clicked_link,none,court,unknown,unknown,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,card,sms,sent_money,payment,bank,,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,sms,clicked_link,none,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment | verification | login | download | none | unknown,bank | government | company | individual | none | unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment | verification | login | download | none | unknown,bank | government | company | individual | none | unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,telegram,sent_money,payment,unknown,,unknown,0.5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,sms,sent_money,transaction,company,,unknown,0.9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi | card | bank | crypto | gift_card | unknown | none,sms | email | phone | social_media | website | app | unknown | none,sent_money | shared_credentials | clicked_link | installed_app | none | unknown,payment | verification | login | download | none | unknown,bank | government | company | individual | none | unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,email,shared_credentials,recovery,none,,unknown,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
0,none,0,1,0,0,0,0,0,0,0,0,card,app,clicked_link,payment,none,,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,1,,,,,,,,,card,sms,none,payment,bank,,unknown,0.8,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,1,0,0,0,0,0,1,0,bank,phone,sent_money,payment,individual,,unknown,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,sent_money,payment,none,$70 ,unknown,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,email,shared_credentials,none,individual,,unknown,0.9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,clicked_link,payment,company,150,USD,0.8,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,phone,none,none,compliance officer,unknown,unknown,0.8,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,phone,none,none,real estate agent,unknown,unknown,0.8,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,1,1,0,0,upi,sms,sent_money,payment,bank,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,email,none,interview,company,,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi,sms,blocked_account,resume,bank,,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,clicked_link,payment,company,$8K,USD,0.5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,1,0,0,0,bank,unknown,sent_money,transaction,government,50 Lakhs to 1 Crore,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,crypto,social_media,clicked_link,transaction,individual,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,deposited money,payment,none,,unknown,0.9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,discord,none,none,unknown,unknown,unknown,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,crypto,website,clicked_link,recovery,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,withdrew_money,transaction,none,"$9,000 ",unknown,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,installed_app,none,none,,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,sms,sent_money,payment,none,32k,unknown,0.9,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,crypto,website,clicked_link,presale,company,unknown,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,1,0,0,upi,sms,sent_money,payment,bank,,unknown,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,social_media,none,none,none,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,unknown,email,none,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,,,,,,,,,,crypto,website,withdrew_funds,transaction,exchange,,unknown,0.9,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
0,none,,,,,,,,,,,unknown,social_media,none,none,individual,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,sms,none,none,unknown,unknown,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,email,sent_money,payment,bank,1000,INR,0.5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,deposited_check,payment,unknown,$976 ,USD,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,pig_butchering,0,0,0,0,0,0,1,1,1,0,crypto,website,invested,transaction,ARK Invest,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,app,installed_app,none,unknown,,unknown,0.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,,unknown,0.9,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,phone,none,none,unknown,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,crypto,website,clicked_link,none,company,unknown,unknown,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,1,0,0,0,0,0,0,1,0,card,email,shared_credentials,verification,none,200,USD,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,45000,INR,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,email,shared_credentials,login,Gmail,,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,clicked_link,donation,none,,unknown,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,none,0,0,0,0,0,0,0,0,1,0,unknown,none,none,none,none,unknown,unknown,0.8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,1,0,unknown,social_media,none,none,individual,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,1,0,0,0,0,0,0,unknown,website,clicked_link,commerce,none,unknown,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,1,0,0,0,0,upi,email,clicked_link,credential,bank,,unknown,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,commerce,0,0,0,1,1,0,0,0,0,0,crypto,website,deposit,commission,e-commerce brands,,unknown,0.9,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,email,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,sms,sent_money,payment,none,40 grand,unknown,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,0,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,,unknown,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,,,,,,,,,,upi,sms,sent_money,payment,,,,,1,0.5,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,individual,$600 ,USD,0.5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,none,sent_money,payment,none,200,unknown,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
-1,none,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,,unknown,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,deposited_money,transaction,crypto casino,2500,unknown,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,,1,,,,,,,,,unknown,website,sent_money,payment,none,"$2,500 ",USD,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
1,transaction,1,0,0,0,0,0,1,1,0,0,upi,sms,sent_money,payment,bank,,unknown,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,0,0,0,0,0,0,0,0,bank,sms,sent_money,payment,company,,EUR,0.9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,sent_money,payment,broker,30000,INR,0.5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
